,low,medium,high
C1,0.8,1,1.2
C2,6.4,8,9.6
C3,1958.08,2447.6,2937.12
C4,1.6,2,2.4
C5,206.4,258,309.6
C6,54.64,68.3,81.96
C7,79.616,99.52,119.424
C8,16.96,21.2,25.44
C9,1.92,2.4,2.88
