,low,medium,high
C1,11.44,14.3,17.16
C2,24.64,30.8,36.96
C3,161.12,201.4,241.68
C4,6.8,8.5,10.2
C5,1284.8,1606,1927.2
C6,8.4,10.5,12.6
C7,5.232,6.54,7.848
C8,4.64,5.8,6.96
C9,15.28,19.1,22.92
