,low,medium,high
C1,0.4,0.5,0.6
C2,6.56,8.2,9.84
C3,1966.96,2458.7,2950.44
C4,2,2.5,3
C5,209.6,262,314.4
C6,53.36,66.7,80.04
C7,79.544,99.43,119.316
C8,24.4,30.5,36.6
C9,2.24,2.8,3.36
