,low,medium,high
C1,0.005104679,0.005104679,0.005104679
C2,0.004916816,0.004916816,0.004916816
C3,0.52388966,0.52388966,0.52388966
C4,0.002088457,0.002088457,0.002088457
C5,0.418515142,0.418515142,0.418515142
C6,0.014641194,0.014641194,0.014641194
C7,0.021973859,0.021973859,0.021973859
C8,0.004220828,0.004220828,0.004220828
C9,0.004649365,0.004649365,0.004649365
