Country,d+,d-,Ci
BE,8.562756803,0.441077153,0.048987704
BG,8.814757833,0.212465088,0.023536041
CZ,8.621691243,0.383724145,0.042610377
DK,8.438161954,0.566654609,0.062927946
DE,8.578970876,0.425434748,0.047247399
EE,8.347346492,0.659348551,0.073206492
IE,8.406949492,0.596890547,0.066292887
EL,8.646196585,0.360209231,0.039994781
ES,8.557594936,0.445929698,0.049528348
FR,8.505416697,0.498899042,0.055406658
HR,8.65433694,0.352385475,0.039124718
IT,8.652345897,0.352703454,0.039167298
CY,8.480629484,0.524113099,0.058204118
LV,8.478970055,0.528328861,0.058655638
LT,8.53002623,0.476428154,0.052898525
LU,8.535125438,0.467957783,0.051977503
HU,8.695756618,0.314901086,0.034947625
MT,8.64250247,0.360893678,0.040084172
NL,8.562336584,0.441077148,0.04898999
AT,8.534990288,0.469194053,0.052108446
PL,8.705123527,0.30474014,0.033822947
PT,8.535969484,0.467599903,0.051934947
RO,8.752448593,0.255888541,0.028405747
SI,8.613772157,0.391279469,0.043451108
SK,8.663197492,0.342710661,0.038053981
FI,8.13514805,0.876921766,0.097305257
SE,8.150227079,0.860979179,0.095545386
