Country,C1 low,C1,C1 high,C2 low,C2,C2 high,C3 low,C3,C3 high,C4 low,C4,C4 high,C5 low,C5,C5 high,C6 low,C6,C6 high,C7 low,C7,C7 high,C8 low,C8,C8 high,C9 low,C9,C9 high
BE,1.3599999999999999,1.7,2.04,12.64,15.8,18.96,465.28000000000003,581.6,697.9200000000001,4.720000000000001,5.9,7.08,576.0,720,864.0,42.8,53.5,64.2,66.272,82.84,99.408,14.559999999999999,18.2,21.84,10.64,13.3,15.96
BG,9.28,11.6,13.92,8.0,10.0,12.0,490.8,613.5,736.2,7.92,9.9,11.88,1552.0,1940,2328.0,25.44,31.8,38.160000000000004,49.472,61.84,74.208,13.040000000000001,16.3,19.560000000000002,20.0,25.0,30.0
CZ,2.4,3.0,3.6,11.6,14.5,17.4,492.88,616.1,739.32,4.64,5.8,6.96,840.0,1050,1260.0,26.880000000000003,33.6,40.32,64.96000000000001,81.2,97.44,19.759999999999998,24.7,29.64,9.36,11.7,14.04
DK,1.3599999999999999,1.7,2.04,14.64,18.3,21.96,841.8399999999999,1052.3,1262.76,2.96,3.7,4.44,426.4,533,639.6,38.64,48.3,57.959999999999994,77.44,96.8,116.16,14.88,18.6,22.32,6.720000000000001,8.4,10.08
DE,1.52,1.9,2.28,20.080000000000002,25.1,30.12,451.84,564.8,677.76,3.12,3.9,4.68,625.6,782,938.4,53.67999999999999,67.1,80.52,76.776,95.97,115.164,12.559999999999999,15.7,18.84,11.28,14.1,16.92
EE,2.6399999999999997,3.3,3.96,8.32,10.4,12.48,1232.4,1540.5,1848.6,4.32,5.4,6.48,364.8,456,547.2,22.48,28.1,33.72,66.4,83.0,99.6,16.16,20.2,24.24,7.359999999999999,9.2,11.04
IE,0.8,1.0,1.2,6.16,7.7,9.24,769.04,961.3,1153.56,3.04,3.8,4.56,222.4,278,333.6,32.56,40.7,48.84,48.92,61.15,73.38,13.280000000000001,16.6,19.92,7.76,9.7,11.639999999999999
EL,5.04,6.3,7.56,15.919999999999998,19.9,23.88,502.16,627.7,753.24,6.08,7.6,9.12,1004.0,1255,1506.0,13.76,17.2,20.64,74.72,93.4,112.08000000000001,14.48,18.1,21.720000000000002,9.440000000000001,11.8,14.16
ES,1.3599999999999999,1.7,2.04,12.959999999999999,16.2,19.439999999999998,458.32,572.9,687.48,3.12,3.9,4.68,491.2,614,736.8,27.119999999999997,33.9,40.68,69.296,86.62,103.944,14.719999999999999,18.4,22.08,8.24,10.3,12.360000000000001
FR,2.16,2.7,3.24,14.16,17.7,21.24,668.1600000000001,835.2,1002.24,4.16,5.2,6.24,496.8,621,745.2,31.439999999999998,39.3,47.16,64.368,80.46,96.55199999999999,12.959999999999999,16.2,19.439999999999998,11.84,14.8,17.76
HR,5.68,7.1,8.52,6.8,8.5,10.2,536.5600000000001,670.7,804.84,5.92,7.4,8.88,1085.6,1357,1628.4,16.8,21.0,25.2,29.52,36.9,44.28,12.0,15.0,18.0,2.4,3.0,3.6
IT,6.08,7.6,9.12,12.959999999999999,16.2,19.439999999999998,377.2,471.5,565.8,4.32,5.4,6.48,776.0,970,1164.0,36.72,45.9,55.08,47.68,59.6,71.52000000000001,14.4,18.0,21.6,11.76,14.7,17.64
CY,1.04,1.3,1.56,12.48,15.6,18.72,781.76,977.2,1172.64,4.32,5.4,6.48,428.0,535,642.0,12.88,16.1,19.32,66.12,82.65,99.18,14.88,18.6,22.32,7.840000000000001,9.8,11.760000000000002
LV,11.68,14.6,17.52,10.64,13.3,15.96,1037.76,1297.2,1556.64,6.4799999999999995,8.1,9.719999999999999,773.6,967,1160.4,20.16,25.2,30.24,59.288,74.11,88.932,14.8,18.5,22.2,8.0,10.0,12.0
