Country,C1 low,C1,C1 high,C2 low,C2,C2 high,C3 low,C3,C3 high,C4 low,C4,C4 high,C5 low,C5,C5 high,C6 low,C6,C6 high,C7 low,C7,C7 high,C8 low,C8,C8 high,C9 low,C9,C9 high
BE,1.8399999999999999,2.3,2.76,11.6,14.5,17.4,466.8,583.5,700.2,3.44,4.3,5.16,484.0,605,726.0,41.6,52.0,62.4,66.864,83.58,100.29599999999999,10.8,13.5,16.2,8.64,10.8,12.96
BG,6.88,8.6,10.32,7.040000000000001,8.8,10.56,498.71999999999997,623.4,748.0799999999999,5.36,6.7,8.040000000000001,1284.8,1606,1927.2,27.68,34.6,41.52,52.04,65.05,78.06,8.32,10.4,12.48,15.280000000000001,19.1,22.92
CZ,1.6,2.0,2.4,10.64,13.3,15.96,507.52,634.4,761.28,3.84,4.8,5.76,713.6,892,1070.4,36.32,45.4,54.48,66.72,83.4,100.08000000000001,14.64,18.3,21.96,4.88,6.1,7.319999999999999
DK,2.2399999999999998,2.8,3.36,14.559999999999999,18.2,21.84,843.04,1053.8,1264.56,2.16,2.7,3.24,424.0,530,636.0,36.0,45.0,54.0,78.16,97.7,117.24000000000001,10.16,12.7,15.239999999999998,5.84,7.3,8.76
DE,0.96,1.2,1.44,17.28,21.6,25.92,469.36,586.7,704.0400000000001,2.6399999999999997,3.3,3.96,540.8,676,811.2,54.64,68.3,81.96,76.776,95.97,115.164,8.959999999999999,11.2,13.44,6.56,8.2,9.84
EE,1.6800000000000002,2.1,2.52,6.4,8.0,9.6,1187.52,1484.4,1781.2800000000002,3.5200000000000005,4.4,5.28,338.4,423,507.6,23.119999999999997,28.9,34.68,66.4,83.0,99.6,9.28,11.6,13.92,4.4,5.5,6.6
IE,1.1199999999999999,1.4,1.68,8.24,10.3,12.360000000000001,778.1600000000001,972.7,1167.24,2.32,2.9,3.48,257.6,322,386.4,32.32,40.4,48.48,49.488,61.86,74.232,10.879999999999999,13.6,16.32,9.040000000000001,11.3,13.56
EL,4.64,5.8,6.96,16.080000000000002,20.1,24.12,568.1600000000001,710.2,852.24,4.4,5.5,6.6,800.8,1001,1201.2,16.8,21.0,25.2,75.36,94.2,113.04,10.32,12.9,15.48,14.48,18.1,21.720000000000002
ES,2.7199999999999998,3.4,4.08,17.52,21.9,26.279999999999998,462.0,577.5,693.0,2.32,2.9,3.48,448.8,561,673.2,29.119999999999997,36.4,43.68,69.296,86.62,103.944,8.0,10.0,12.0,11.28,14.1,16.92
FR,3.04,3.8,4.56,16.56,20.7,24.84,676.08,845.1,1014.12,2.96,3.7,4.44,435.2,544,652.8,33.839999999999996,42.3,50.76,63.879999999999995,79.85,95.82,10.4,13.0,15.6,14.16,17.7,21.24
