Country,C1 low,C1,C1 high,C2 low,C2,C2 high,C3 low,C3,C3 high,C4 low,C4,C4 high,C5 low,C5,C5 high,C6 low,C6,C6 high,C7 low,C7,C7 high,C8 low,C8,C8 high,C9 low,C9,C9 high
BE,1.52,1.9,2.28,12.8,16.0,19.2,466.8,583.5,700.2,4.4799999999999995,5.6,6.72,484.0,605,726.0,43.760000000000005,54.7,65.64,67.4,84.25,101.1,14.959999999999999,18.7,22.439999999999998,10.64,13.3,15.96
BG,7.12,8.9,10.68,7.12,8.9,10.68,498.71999999999997,623.4,748.0799999999999,7.2,9.0,10.8,1284.8,1606,1927.2,27.68,34.6,41.52,51.608000000000004,64.51,77.412,12.24,15.3,18.36,16.16,20.2,24.24
CZ,1.52,1.9,2.28,11.2,14.0,16.8,507.52,634.4,761.28,4.64,5.8,6.96,713.6,892,1070.4,26.639999999999997,33.3,39.959999999999994,66.08,82.6,99.11999999999999,20.0,25.0,30.0,6.24,7.8,9.36
DK,2.2399999999999998,2.8,3.36,16.080000000000002,20.1,24.12,843.04,1053.8,1264.56,2.7199999999999998,3.4,4.08,424.0,530,636.0,41.2,51.5,61.8,78.0,97.5,117.0,13.84,17.3,20.76,6.0,7.5,9.0
DE,1.6800000000000002,2.1,2.52,20.880000000000003,26.1,31.32,469.36,586.7,704.0400000000001,2.96,3.7,4.44,540.8,676,811.2,53.36,66.7,80.04,76.776,95.97,115.164,13.36,16.7,20.04,10.48,13.1,15.719999999999999
EE,2.16,2.7,3.24,6.56,8.2,9.84,1187.52,1484.4,1781.2800000000002,3.12,3.9,4.68,338.4,423,507.6,24.64,30.8,36.96,66.4,83.0,99.6,16.080000000000002,20.1,24.12,5.92,7.4,8.88
IE,0.8800000000000001,1.1,1.32,6.56,8.2,9.84,778.1600000000001,972.7,1167.24,2.2399999999999998,2.8,3.36,257.6,322,386.4,29.919999999999998,37.4,44.879999999999995,49.488,61.86,74.232,14.559999999999999,18.2,21.84,7.040000000000001,8.8,10.56
EL,4.8,6.0,7.2,15.76,19.7,23.64,568.1600000000001,710.2,852.24,5.12,6.4,7.680000000000001,800.8,1001,1201.2,16.8,21.0,25.2,75.36,94.2,113.04,13.6,17.0,20.4,13.52,16.9,20.279999999999998
ES,1.3599999999999999,1.7,2.04,11.28,14.1,16.92,462.0,577.5,693.0,2.96,3.7,4.44,448.8,561,673.2,30.4,38.0,45.6,69.296,86.62,103.944,12.32,15.4,18.48,9.28,11.6,13.92
FR,1.8399999999999999,2.3,2.76,13.84,17.3,20.76,676.08,845.1,1014.12,3.84,4.8,5.76,435.2,544,652.8,32.4,40.5,48.6,64.01599999999999,80.02,96.024,13.36,16.7,20.04,11.76,14.7,17.64
HR,4.720000000000001,5.9,7.08,6.56,8.2,9.84,578.0,722.5,867.0,5.84,7.3,8.76,851.2,1064,1276.8,24.16,30.2,36.24,29.52,36.9,44.28,12.64,15.8,18.96,2.16,2.7,3.24
IT,4.0,5.0,6.0,9.52,11.9,14.280000000000001,387.44,484.3,581.1600000000001,4.24,5.3,6.359999999999999,674.4,843,1011.6,41.12,51.4,61.68,47.68,59.6,71.52000000000001,14.4,18.0,21.6,7.5200000000000005,9.4,11.280000000000001
CY,1.04,1.3,1.56,12.32,15.4,18.48,751.2,939.0,1126.8,4.720000000000001,5.9,7.08,476.0,595,714.0,13.040000000000001,16.3,19.560000000000002,66.12,82.65,99.18,14.8,18.5,22.2,10.16,12.7,15.239999999999998
LV,10.16,12.7,15.239999999999998,10.48,13.1,15.719999999999999,1020.8799999999999,1276.1,1531.32,5.5200000000000005,6.9,8.280000000000001,739.2,924,1108.8,32.8,41.0,49.2,64.08,80.1,96.11999999999999,13.76,17.2,20.64,4.88,6.1,7.319999999999999
LT,6.24,7.8,9.36,10.64,13.3,15.96,872.4,1090.5,1308.6,5.279999999999999,6.6,7.92,798.4,998,1197.6,39.760000000000005,49.7,59.64,61.239999999999995,76.55,91.86,7.5200000000000005,9.4,11.280000000000001,2.56,3.2,3.8400000000000003
LU,1.6,2.0,2.4,16.16,20.2,24.24,452.16,565.2,678.24,2.8,3.5,4.2,276.8,346,415.2,39.12,48.9,58.68,78.47999999999999,98.1,117.72,13.919999999999998,17.4,20.88,8.959999999999999,11.2,13.44
HU,6.24,7.8,9.36,7.76,9.7,11.639999999999999,649.2,811.5,973.8,4.96,6.2,7.44,964.0,1205,1446.0,28.72,35.9,43.08,64.208,80.26,96.31200000000001,21.68,27.1,32.52,4.24,5.3,6.359999999999999
MT,1.04,1.3,1.56,22.64,28.3,33.96,161.12,201.4,241.68,2.56,3.2,3.8400000000000003,512.8,641,769.2,7.279999999999999,9.1,10.92,0.0,0.0,0.0,14.559999999999999,18.2,21.84,10.879999999999999,13.6,16.32
NL,1.2,1.5,1.8,21.28,26.6,31.92,365.52,456.9,548.28,2.7199999999999998,3.4,4.08,440.8,551,661.2,45.519999999999996,56.9,68.28,79.6,99.5,119.4,11.52,14.4,17.28,13.040000000000001,16.3,19.560000000000002
AT,2.4,3.0,3.6,15.6,19.5,23.4,592.08,740.1,888.12,3.7600000000000002,4.7,5.640000000000001,484.8,606,727.2,46.56,58.2,69.84,79.824,99.78,119.736,18.4,23.0,27.6,6.720000000000001,8.4,10.08
PL,6.32,7.9,9.48,10.08,12.6,15.12,506.96000000000004,633.7,760.44,6.16,7.7,9.24,1032.8,1291,1549.2,27.28,34.1,40.92,59.552,74.44,89.328,15.440000000000001,19.3,23.16,3.5200000000000005,4.4,5.28
PT,3.28,4.1,4.92,18.16,22.7,27.24,551.28,689.1,826.9200000000001,5.36,6.7,8.040000000000001,418.4,523,627.6,23.119999999999997,28.9,34.68,67.712,84.64,101.568,8.559999999999999,10.7,12.84,5.36,6.7,8.040000000000001
RO,11.36,14.2,17.04,14.559999999999999,18.2,21.84,422.71999999999997,528.4,634.0799999999999,7.68,9.6,11.52,1008.8,1261,1513.2,9.2,11.5,13.8,39.519999999999996,49.4,59.28,16.880000000000003,21.1,25.32,7.68,9.6,11.52
SI,3.12,3.9,4.68,11.6,14.5,17.4,500.08000000000004,625.1,750.12,3.9200000000000004,4.9,5.880000000000001,595.2,744,892.8,47.36,59.2,71.04,55.616,69.52,83.42399999999999,10.72,13.4,16.080000000000002,6.4,8.0,9.6
SK,2.88,3.6,4.32,8.4,10.5,12.6,505.43999999999994,631.8,758.16,4.0,5.0,6.0,747.2,934,1120.8,30.8,38.5,46.2,54.48,68.1,81.72,20.96,26.2,31.439999999999998,4.4799999999999995,5.6,6.72
FI,0.72,0.9,1.08,10.24,12.8,15.360000000000001,1958.08,2447.6,2937.12,3.04,3.8,4.56,230.4,288,345.6,34.8,43.5,52.2,68.0,85.0,102.0,12.88,16.1,19.32,5.12,6.4,7.680000000000001
SE,2.08,2.6,3.12,13.6,17.0,20.4,1778.4,2223.0,2667.6,1.7600000000000002,2.2,2.64,206.4,258,309.6,37.28,46.6,55.92,76.8,96.0,115.2,16.4,20.5,24.6,10.4,13.0,15.6
