Country,C1 low,C1,C1 high,C2 low,C2,C2 high,C3 low,C3,C3 high,C4 low,C4,C4 high,C5 low,C5,C5 high,C6 low,C6,C6 high,C7 low,C7,C7 high,C8 low,C8,C8 high,C9 low,C9,C9 high
BE,0.72,0.9,1.08,14.4,18.0,21.6,465.28000000000003,581.6,697.9200000000001,5.4399999999999995,6.8,8.16,589.6,737,884.4,42.8,53.5,64.2,65.54400000000001,81.93,98.316,15.040000000000001,18.8,22.560000000000002,12.88,16.1,19.32
BG,9.120000000000001,11.4,13.68,7.76,9.7,11.639999999999999,490.8,613.5,736.2,7.92,9.9,11.88,1640.0,2050,2460.0,23.52,29.4,35.28,48.504000000000005,60.63,72.756,13.52,16.9,20.279999999999998,21.04,26.3,31.560000000000002
CZ,2.6399999999999997,3.3,3.96,11.120000000000001,13.9,16.68,492.88,616.1,739.32,5.6,7.0,8.4,855.2,1069,1282.8,23.759999999999998,29.7,35.64,64.56,80.7,96.84,20.0,25.0,30.0,9.6,12.0,14.4
DK,2.2399999999999998,2.8,3.36,13.2,16.5,19.8,841.8399999999999,1052.3,1262.76,2.48,3.1,3.72,446.4,558,669.6,37.92,47.4,56.879999999999995,77.2,96.5,115.8,15.280000000000001,19.1,22.92,6.16,7.7,9.24
DE,1.44,1.8,2.16,20.64,25.8,30.96,451.84,564.8,677.76,3.3600000000000003,4.2,5.04,662.4,828,993.6,53.36,66.7,80.04,76.616,95.77,114.92399999999999,12.48,15.6,18.72,11.040000000000001,13.8,16.560000000000002
EE,2.2399999999999998,2.8,3.36,7.5200000000000005,9.4,11.280000000000001,1232.4,1540.5,1848.6,4.08,5.1,6.119999999999999,418.4,523,627.6,22.64,28.3,33.96,66.4,83.0,99.6,14.16,17.7,21.24,9.440000000000001,11.8,14.16
IE,0.96,1.2,1.44,6.56,8.2,9.84,769.04,961.3,1153.56,2.7199999999999998,3.4,4.08,209.6,262,314.4,31.839999999999996,39.8,47.76,48.448,60.56,72.672,13.36,16.7,20.04,8.72,10.9,13.08
EL,5.36,6.7,8.040000000000001,15.36,19.2,23.04,502.16,627.7,753.24,5.84,7.3,8.76,954.4,1193,1431.6,12.64,15.8,18.96,74.72,93.4,112.08000000000001,14.88,18.6,22.32,10.24,12.8,15.360000000000001
ES,1.2,1.5,1.8,12.559999999999999,15.7,18.84,458.32,572.9,687.48,2.88,3.6,4.32,550.4,688,825.6,24.0,30.0,36.0,67.744,84.68,101.61600000000001,14.88,18.6,22.32,8.0,10.0,12.0
FR,1.8399999999999999,2.3,2.76,13.12,16.4,19.68,668.1600000000001,835.2,1002.24,4.16,5.2,6.24,535.2,669,802.8,32.56,40.7,48.84,64.272,80.34,96.408,12.959999999999999,16.2,19.439999999999998,11.36,14.2,17.04
HR,5.84,7.3,8.76,6.640000000000001,8.3,9.96,536.5600000000001,670.7,804.84,6.640000000000001,8.3,9.96,992.8,1241,1489.2,14.4,18.0,21.6,29.52,36.9,44.28,11.28,14.1,16.92,2.2399999999999998,2.8,3.36
IT,7.68,9.6,11.52,14.64,18.3,21.96,377.2,471.5,565.8,4.4799999999999995,5.6,6.72,849.6,1062,1274.4,35.44,44.3,53.16,47.68,59.6,71.52000000000001,14.88,18.6,22.32,15.52,19.4,23.279999999999998
CY,0.4,0.5,0.6,13.76,17.2,20.64,781.76,977.2,1172.64,5.36,6.7,8.040000000000001,525.6,657,788.4,13.280000000000001,16.6,19.92,66.12,82.65,99.18,14.959999999999999,18.7,22.439999999999998,9.6,12.0,14.4
LV,12.4,15.5,18.6,11.68,14.6,17.52,1037.76,1297.2,1556.64,7.6,9.5,11.4,762.4,953,1143.6,22.96,28.7,34.44,58.67999999999999,73.35,88.02,15.440000000000001,19.3,23.16,9.440000000000001,11.8,14.16
LT,7.12,8.9,10.68,12.32,15.4,18.48,842.4799999999999,1053.1,1263.7199999999998,6.640000000000001,8.3,9.96,796.0,995,1194.0,26.48,33.1,39.72,57.824,72.28,86.736,8.64,10.8,12.96,3.6799999999999997,4.6,5.52
LU,1.3599999999999999,1.7,2.04,16.080000000000002,20.1,24.12,409.36,511.7,614.04,5.04,6.3,7.56,419.2,524,628.8,37.92,47.4,56.879999999999995,77.28,96.6,115.91999999999999,13.680000000000001,17.1,20.520000000000003,11.92,14.9,17.880000000000003
HU,12.4,15.5,18.6,10.959999999999999,13.7,16.439999999999998,563.4399999999999,704.3,845.16,5.2,6.5,7.8,1234.4,1543,1851.6,25.76,32.2,38.64,61.176,76.47,91.764,24.4,30.5,36.6,8.48,10.6,12.719999999999999
MT,1.04,1.3,1.56,19.68,24.6,29.520000000000003,152.48,190.6,228.72,2.0,2.5,3.0,516.8,646,775.2,8.72,10.9,13.08,0.0,0.0,0.0,14.16,17.7,21.24,8.8,11.0,13.2
NL,0.8,1.0,1.2,19.759999999999998,24.7,29.64,377.28000000000003,471.6,565.9200000000001,2.48,3.1,3.72,505.6,632,758.4,41.44,51.8,62.16,79.54400000000001,99.43,119.316,11.040000000000001,13.8,16.560000000000002,13.919999999999998,17.4,20.88
AT,3.44,4.3,5.16,14.0,17.5,21.0,562.88,703.6,844.32,4.4,5.5,6.6,584.0,730,876.0,45.519999999999996,56.9,68.28,76.0,95.0,114.0,17.52,21.9,26.279999999999998,10.32,12.9,15.48
PL,7.840000000000001,9.8,11.760000000000002,9.92,12.4,14.88,499.12,623.9,748.68,6.16,7.7,9.24,1210.4,1513,1815.6,26.0,32.5,39.0,58.08,72.6,87.11999999999999,17.04,21.3,25.560000000000002,4.64,5.8,6.96
PT,3.7600000000000002,4.7,5.640000000000001,18.4,23.0,27.6,496.96000000000004,621.2,745.44,4.5600000000000005,5.7,6.84,479.2,599,718.8,23.84,29.8,35.760000000000005,67.712,84.64,101.568,8.0,10.0,12.0,8.4,10.5,12.6
RO,15.84,19.8,23.76,17.759999999999998,22.2,26.64,291.84000000000003,364.8,437.76,7.68,9.6,11.52,1139.2,1424,1708.8,10.559999999999999,13.2,15.84,31.76,39.7,47.64,17.68,22.1,26.520000000000003,10.48,13.1,15.719999999999999
SI,4.4799999999999995,5.6,6.72,10.32,12.9,15.48,487.36,609.2,731.0400000000001,4.64,5.8,6.96,813.6,1017,1220.4,43.28,54.1,64.92,45.92,57.4,68.88,11.120000000000001,13.9,16.68,7.359999999999999,9.2,11.04
SK,3.3600000000000003,4.2,5.04,10.24,12.8,15.360000000000001,428.96000000000004,536.2,643.44,4.5600000000000005,5.7,6.84,946.4,1183,1419.6,11.92,14.9,17.880000000000003,50.88,63.6,76.32000000000001,19.36,24.2,29.04,5.84,7.3,8.76
FI,0.5599999999999999,0.7,0.84,9.36,11.7,14.04,1966.9599999999998,2458.7,2950.4399999999996,3.9200000000000004,4.9,5.880000000000001,244.0,305,366.0,32.480000000000004,40.6,48.72,67.2,84.0,100.8,12.0,15.0,18.0,5.84,7.3,8.76
SE,2.08,2.6,3.12,10.08,12.6,15.12,1875.0400000000002,2343.8,2812.5600000000004,2.08,2.6,3.12,232.0,290,348.0,38.0,47.5,57.0,76.0,95.0,114.0,13.440000000000001,16.8,20.16,8.72,10.9,13.08
