Country,C1 low,C1,C1 high,C2 low,C2,C2 high,C3 low,C3,C3 high,C4 low,C4,C4 high,C5 low,C5,C5 high,C6 low,C6,C6 high,C7 low,C7,C7 high,C8 low,C8,C8 high,C9 low,C9,C9 high
BE,1.8399999999999999,2.3,2.76,12.48,15.6,18.72,465.28000000000003,581.6,697.9200000000001,4.32,5.4,6.48,544.8,681,817.2,43.12,53.9,64.68,66.664,83.33,99.996,14.559999999999999,18.2,21.84,9.92,12.4,14.88
BG,8.48,10.6,12.719999999999999,7.840000000000001,9.8,11.760000000000002,490.8,613.5,736.2,7.68,9.6,11.52,1557.6,1947,2336.4,27.68,34.6,41.52,50.552,63.19,75.828,12.16,15.2,18.24,18.880000000000003,23.6,28.32
CZ,1.6800000000000002,2.1,2.52,10.879999999999999,13.6,16.32,492.88,616.1,739.32,4.32,5.4,6.48,864.0,1080,1296.0,25.6,32.0,38.4,65.84,82.3,98.75999999999999,20.240000000000002,25.3,30.36,7.44,9.3,11.16
DK,2.16,2.7,3.24,15.040000000000001,18.8,22.560000000000002,841.8399999999999,1052.3,1262.76,2.4,3.0,3.6,381.6,477,572.4,38.08,47.6,57.120000000000005,77.84,97.3,116.75999999999999,14.8,18.5,22.2,6.24,7.8,9.36
DE,1.44,1.8,2.16,20.880000000000003,26.1,31.32,451.84,564.8,677.76,3.04,3.8,4.56,622.4,778,933.6,53.760000000000005,67.2,80.64,76.776,95.97,115.164,12.8,16.0,19.2,11.36,14.2,17.04
EE,2.6399999999999997,3.3,3.96,6.56,8.2,9.84,1232.4,1540.5,1848.6,2.88,3.6,4.32,328.8,411,493.2,22.72,28.4,34.08,66.4,83.0,99.6,15.84,19.8,23.76,5.84,7.3,8.76
IE,0.5599999999999999,0.7,0.84,7.2,9.0,10.8,769.04,961.3,1153.56,2.56,3.2,3.8400000000000003,202.4,253,303.6,32.32,40.4,48.48,49.248000000000005,61.56,73.872,13.919999999999998,17.4,20.88,7.76,9.7,11.639999999999999
EL,4.8,6.0,7.2,16.080000000000002,20.1,24.12,502.16,627.7,753.24,5.4399999999999995,6.8,8.16,1460.8,1826,2191.2,15.12,18.9,22.68,75.84,94.8,113.75999999999999,14.0,17.5,21.0,11.040000000000001,13.8,16.560000000000002
ES,0.8,1.0,1.2,12.16,15.2,18.24,458.32,572.9,687.48,3.12,3.9,4.68,524.0,655,786.0,28.880000000000003,36.1,43.32,69.296,86.62,103.944,11.84,14.8,17.76,6.959999999999999,8.7,10.44
FR,1.6800000000000002,2.1,2.52,13.440000000000001,16.8,20.16,668.1600000000001,835.2,1002.24,4.08,5.1,6.119999999999999,484.8,606,727.2,31.76,39.7,47.64,64.34400000000001,80.43,96.516,13.12,16.4,19.68,11.120000000000001,13.9,16.68
HR,5.2,6.5,7.8,6.88,8.6,10.32,536.5600000000001,670.7,804.84,6.4,8.0,9.6,1009.6,1262,1514.4,18.880000000000003,23.6,28.32,29.52,36.9,44.28,12.559999999999999,15.7,18.84,2.4,3.0,3.6
IT,4.4,5.5,6.6,10.0,12.5,15.0,377.2,471.5,565.8,4.4799999999999995,5.6,6.72,786.4,983,1179.6,38.239999999999995,47.8,57.36,47.68,59.6,71.52000000000001,13.84,17.3,20.76,10.0,12.5,15.0
CY,0.72,0.9,1.08,13.52,16.9,20.279999999999998,781.76,977.2,1172.64,4.96,6.2,7.44,504.8,631,757.2,12.959999999999999,16.2,19.439999999999998,66.12,82.65,99.18,15.2,19.0,22.8,10.0,12.5,15.0
LV,12.16,15.2,18.24,11.28,14.1,16.92,1037.76,1297.2,1556.64,5.6,7.0,8.4,682.4,853,1023.6,19.84,24.8,29.76,61.696000000000005,77.12,92.54400000000001,13.84,17.3,20.76,6.4,8.0,9.6
LT,6.4799999999999995,8.1,9.719999999999999,10.559999999999999,13.2,15.84,842.4799999999999,1053.1,1263.7199999999998,5.4399999999999995,6.8,8.16,678.4,848,1017.6,38.480000000000004,48.1,57.72,59.024,73.78,88.536,7.12,8.9,10.68,6.56,8.2,9.84
LU,1.8399999999999999,2.3,2.76,17.28,21.6,25.92,409.36,511.7,614.04,3.3600000000000003,4.2,5.04,369.6,462,554.4,38.96,48.7,58.440000000000005,77.6,97.0,116.4,13.680000000000001,17.1,20.520000000000003,9.6,12.0,14.4
HU,12.72,15.9,19.080000000000002,8.8,11.0,13.2,563.4399999999999,704.3,845.16,5.12,6.4,7.680000000000001,1233.6,1542,1850.4,28.0,35.0,42.0,63.29600000000001,79.12,94.944,24.0,30.0,36.0,5.76,7.2,8.64
MT,1.1199999999999999,1.4,1.68,19.919999999999998,24.9,29.88,152.48,190.6,228.72,3.28,4.1,4.92,484.0,605,726.0,9.2,11.5,13.8,5.36,6.7,8.040000000000001,14.0,17.5,21.0,8.0,10.0,12.0
NL,0.8,1.0,1.2,20.48,25.6,30.720000000000002,377.28000000000003,471.6,565.9200000000001,2.48,3.1,3.72,464.0,580,696.0,43.68,54.6,65.52000000000001,79.6,99.5,119.4,11.440000000000001,14.3,17.16,12.0,15.0,18.0
AT,3.5200000000000005,4.4,5.28,14.319999999999999,17.9,21.479999999999997,562.88,703.6,844.32,3.7600000000000002,4.7,5.640000000000001,519.2,649,778.8,46.160000000000004,57.7,69.24000000000001,79.8,99.75,119.7,17.6,22.0,26.4,8.72,10.9,13.08
PL,7.840000000000001,9.8,11.760000000000002,9.92,12.4,14.88,499.12,623.9,748.68,6.0,7.5,9.0,1223.2,1529,1834.8,27.04,33.8,40.559999999999995,58.8,73.5,88.2,17.2,21.5,25.8,4.32,5.4,6.48
PT,3.2,4.0,4.8,18.8,23.5,28.2,496.96000000000004,621.2,745.44,4.64,5.8,6.96,454.4,568,681.6,23.28,29.1,34.92,67.712,84.64,101.568,8.32,10.4,12.48,6.32,7.9,9.48
RO,13.76,17.2,20.64,15.440000000000001,19.3,23.16,291.84000000000003,364.8,437.76,8.0,10.0,12.0,1161.6,1452,1742.4,11.2,14.0,16.8,37.2,46.5,55.8,17.759999999999998,22.2,26.64,9.040000000000001,11.3,13.56
SI,3.5200000000000005,4.4,5.28,10.64,13.3,15.96,487.36,609.2,731.0400000000001,4.0,5.0,6.0,752.0,940,1128.0,46.239999999999995,57.8,69.36,54.088,67.61,81.132,10.8,13.5,16.2,6.4,8.0,9.6
SK,4.16,5.2,6.24,10.24,12.8,15.360000000000001,428.96000000000004,536.2,643.44,4.08,5.1,6.119999999999999,938.4,1173,1407.6,23.84,29.8,35.760000000000005,52.0,65.0,78.0,20.48,25.6,30.720000000000002,4.96,6.2,7.44
FI,0.5599999999999999,0.7,0.84,10.0,12.5,15.0,1966.9599999999998,2458.7,2950.4399999999996,3.44,4.3,5.16,204.0,255,306.0,32.4,40.5,48.6,68.0,85.0,102.0,12.64,15.8,18.96,4.96,6.2,7.44
SE,2.0,2.5,3.0,13.52,16.9,20.279999999999998,1875.0400000000002,2343.8,2812.5600000000004,2.0,2.5,3.0,190.4,238,285.6,37.44,46.8,56.16,76.0,95.0,114.0,15.680000000000001,19.6,23.520000000000003,10.4,13.0,15.6
