,low,medium,high
C1,0.72,0.9,1.08
C2,6.56,8.2,9.84
C3,1958.08,2447.6,2937.12
C4,1.76,2.2,2.64
C5,206.4,258,309.6
C6,53.36,66.7,80.04
C7,79.824,99.78,119.736
C8,21.68,27.1,32.52
C9,2.16,2.7,3.24
