Country,low,medium,high
BE,0.28723905,0.464124181,0.641009312
BG,0.466675929,0.687882229,0.90908853
CZ,0.328932024,0.519384691,0.709837358
DK,0.157883372,0.350626481,0.54336959
DE,0.294890121,0.476355149,0.657820177
EE,0.0413248,0.24474447,0.44816414
IE,0.150695266,0.32837111,0.506046954
EL,0.33559244,0.534417141,0.733241842
ES,0.284533681,0.458217001,0.631900321
FR,0.218997504,0.402958125,0.586918746
HR,0.350967834,0.549974063,0.748980292
IT,0.359257079,0.541228328,0.723199576
CY,0.210027152,0.398929822,0.587832492
LV,0.181608229,0.399711505,0.617814782
LT,0.238249096,0.451730487,0.665211877
LU,0.244567573,0.409583879,0.574600185
HU,0.340659578,0.552113033,0.763566487
MT,0.420517208,0.578582629,0.73664805
NL,0.306986064,0.477466993,0.647947921
AT,0.243762828,0.42789919,0.612035553
PL,0.403014906,0.610659357,0.818303809
PT,0.256524303,0.432794377,0.609064451
RO,0.438413952,0.639412717,0.840411481
SI,0.30426356,0.488115369,0.671967177
SK,0.337988736,0.52966096,0.721333185
FI,-0.217825039,0.019008357,0.255841753
SE,-0.17132541,0.056389723,0.284104856
