Country,low,medium,high
BE,0.064192682,0.527590421,0.825955958
BG,0.135176425,0.61967744,0.939146252
CZ,0.071681514,0.542934015,0.849154314
DK,-0.094929249,0.392459202,0.714815452
DE,0.066895209,0.532440364,0.832953317
EE,-0.239785936,0.26786307,0.610479875
IE,-0.08057622,0.397203321,0.70995066
EL,0.058240769,0.535940506,0.848608042
ES,0.064290167,0.52605099,0.822779611
FR,-0.022670726,0.453297225,0.764232973
HR,0.062402125,0.540625829,0.853817332
IT,0.117603779,0.579681937,0.876727893
CY,-0.046961799,0.434584058,0.751097713
LV,-0.124718671,0.374167262,0.715789651
LT,-0.067210187,0.430702692,0.763583369
LU,0.049218163,0.506690096,0.799129828
HU,0.038577331,0.525532263,0.847454993
MT,0.205976896,0.647249512,0.923489927
NL,0.100338417,0.556330646,0.847290672
AT,0.011029398,0.483289989,0.790518378
PL,0.104702743,0.583557827,0.897380709
PT,0.027723078,0.494654887,0.796554493
RO,0.143185831,0.615296143,0.922374253
SI,0.062748004,0.530736499,0.833692793
SK,0.076262277,0.547962151,0.854629823
FI,-0.386251886,0,0.386251886
SE,-0.364584837,0.051156401,0.431179973
