,low,medium,high
C1,0.003920017,0.003920017,0.003920017
C2,0.006337987,0.006337987,0.006337987
C3,0.558814139,0.558814139,0.558814139
C4,0.002088428,0.002088428,0.002088428
C5,0.378861993,0.378861993,0.378861993
C6,0.016220426,0.016220426,0.016220426
C7,0.024308595,0.024308595,0.024308595
C8,0.004555603,0.004555603,0.004555603
C9,0.004892813,0.004892813,0.004892813
