,low,medium,high
C1,11.36,14.2,17.04
C2,22.64,28.3,33.96
C3,161.12,201.4,241.68
C4,7.68,9.6,11.52
C5,1284.8,1606,1927.2
C6,7.28,9.1,10.92
C7,0,0,0
C8,7.52,9.4,11.28
C9,16.16,20.2,24.24
