Country,F-TOPSIS,F-VIKOR,F-EDAS,F-DARIA-TOPSIS
BE,0.04859771697362619,0.48297653292530296,0.40713644811687183,0.029260552558095697
BG,0.023811918325165212,0.5859314551452648,0.0008653113244931158,0.029199075450672525
CZ,0.041386927826955945,0.5049041243398584,0.32169514220455436,0.02725269106726766
DK,0.062071993072688895,0.3447571674471904,0.6114596255976538,0.040925077451686734
DE,0.0469224607148981,0.49112610336576934,0.3885975068300177,0.03280466527148247
EE,0.07305086015296021,0.21854390840251703,0.7336740444219126,0.0576384412412174
IE,0.06498421125474445,0.34824885819310203,0.6318528895238479,0.04271152095418371
EL,0.03706045952628038,0.5152862236817083,0.25369349176838385,-0.021074037842421692
ES,0.04962618417321926,0.480066770871884,0.41416666943976,0.024774077366308617
FR,0.05537611627492389,0.40968155635151204,0.5405856713198002,0.03844452354504607
HR,0.03749527250845953,0.5083880432440019,0.27043637287413325,0.022027148240187183
IT,0.03983091889089958,0.5372396992267663,0.28071599718857526,0.016325756598658443
CY,0.05750047933620612,0.38006550139554507,0.5661088082738646,0.030999292985555038
LV,0.056549910780355574,0.32835645238938627,0.5516107461750361,0.02944239595321106
LT,0.05169797487911308,0.3836814854506988,0.49486777106121,0.020138520620538093
LU,0.05318694182726489,0.47227362081947055,0.4323418409062878,0.06745580226687067
HU,0.03579068250529224,0.5054918006896891,0.2360759220001072,0.05757236627964632
MT,0.03860705211102891,0.5925039035703734,0.2027336001613385,-0.009857305152363036
NL,0.04814955942325124,0.5059377694832925,0.36611473493220803,0.020991470806489772
AT,0.0523891453227105,0.4428921261529365,0.4787994763319934,0.037302170076769274
PL,0.03202664733327935,0.543932294274954,0.16110485223439425,0.010188984784957604
PT,0.052283748093811595,0.4551147891462415,0.45885536777262115,0.031192791635652643
RO,0.028178356948702694,0.5914781162457603,0.081934958766854,0.01824094651753571
SI,0.0446055733983244,0.4930797340051361,0.3744661776177512,0.05482004494693768
SK,0.038938905704192374,0.5222325290028029,0.2776407096260265,0.04881355882259245
FI,0.09727800859011401,0.0,0.9996823956933272,0.09265565433895537
SE,0.09443549332299016,0.03012915915754409,0.9632921101072937,0.08172351055271598
