,low,medium,high
C1,0.653333333,0.816666667,0.98
C2,6.626666667,8.283333333,9.94
C3,1962.52,2453.15,2943.78
C4,2.026666667,2.533333333,3.04
C5,215.3333333,269.1666667,323
C6,53.74666667,67.18333333,80.62
C7,79.58666667,99.48333333,119.38
C8,22.36,27.95,33.54
C9,2.2,2.75,3.3
