,low,medium,high
C1,13.52,16.9,20.28
C2,21.73333333,27.16666667,32.6
C3,156.8,196,235.2
C4,7.6,9.5,11.4
C5,1466.533333,1833.166667,2199.8
C6,8.68,10.85,13.02
C7,1.765333333,2.206666667,2.648
C8,7.28,9.1,10.92
C9,18.13333333,22.66666667,27.2
