Country,low,medium,high
BE,-0.079912489,0.094916191,0.269744872
BG,0.000639711,0.002493699,0.004347687
CZ,-0.009304422,0.007204432,0.023713286
DK,-0.127338992,0.26820476,0.663748512
DE,-0.14029928,0.04593672,0.23217272
EE,0.110503747,0.546547223,0.982590699
IE,-0.002187966,0.342093191,0.686374349
EL,-0.004614921,0.00545313,0.01552118
ES,0.004453839,0.156703338,0.308952837
FR,-0.028431283,0.13403999,0.296511264
HR,0.003480196,0.006379526,0.009278856
IT,-0.004182663,0.006571278,0.01732522
CY,-0.177355962,0.193457142,0.564270246
LV,-0.006720007,0.252993389,0.512706785
LT,-0.0951622,0.149184765,0.393531729
LU,0.085840655,0.231473253,0.37710585
HU,-0.005716665,0.008874558,0.02346578
MT,-0.042473971,0.109100305,0.260674582
NL,-0.02577694,0.140225397,0.306227735
AT,-0.092134472,0.088568907,0.269272286
PL,-0.001433614,0.003961753,0.009357119
PT,0.018619633,0.169230831,0.319842029
RO,-0.001114805,0.000788573,0.002691951
SI,-0.001941676,0.010314028,0.022569732
SK,-0.000377247,0.007237656,0.014852559
FI,0.686893232,1.22367826,1.760463288
SE,0.609385165,1.113840946,1.618296727
