Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0.22746988,0.522891566,0.818313253,0,0,0,0,0,0,-0.361840325,0.031799729,0.425439783,-0.164829531,0.195975391,0.556780313,-0.063047896,0.421190131,0.905428157,-0.315340462,0.105824422,0.526989307,-0.38019802,0.024752475,0.42970297,0,0,0
BG,0,0,0,0.108760781,0.423967317,0.739173854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,0.201445783,0.501204819,0.800963855,-0.273626872,0.10531094,0.484248752,0,0,0,0,0,0,0,0,0,0,0,0,-0.33673844,0.07907695,0.49489234,-0.072772277,0.409034653,0.890841584,-0.140337987,0.216385011,0.573108009
DK,-0.032771084,0.306024096,0.644819277,0,0,0,-0.216242615,0.229696731,0.675636078,0.142354533,0.451962111,0.761569689,-0.018097924,0.31825173,0.654601384,-0.157097242,0.303628447,0.764354136,-0.181498208,0.27312724,0.727752688,-0.398019802,0.002475248,0.402970297,-0.080822924,0.265980896,0.612784717
DE,0.201445783,0.501204819,0.800963855,0,0,0,0,0,0,-0.076860622,0.269282815,0.615426252,-0.326788003,0.061009997,0.448807998,0.202380261,0.752975327,1.303570392,-0.19335101,0.258311238,0.709973486,0,0,0,0,0,0
EE,0.045301205,0.371084337,0.69686747,0.16758965,0.472991375,0.7783931,0.185736821,0.732171027,1.278605232,-0.317997294,0.068335589,0.454668471,0.05526788,0.3793899,0.70351192,0,0,0,-0.329395997,0.088255004,0.505906005,-0.326732673,0.091584158,0.50990099,-0.080822924,0.265980896,0.612784717
IE,0.591807229,0.826506024,1.061204819,0.108760781,0.423967317,0.739173854,-0.291952165,0.135059794,0.562071752,0.186197564,0.48849797,0.790798376,0.345962574,0.621635478,0.897308382,0,0,0,0,0,0,-0.384653465,0.019183168,0.423019802,-0.390301249,0.008082292,0.406465834
EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205623379,0.242970776,0.691564931,0,0,0,0,0,0
ES,0.409638554,0.674698795,0.939759036,0,0,0,0,0,0,-0.054939107,0.287550744,0.630040595,0.022045629,0.351704691,0.681363753,0,0,0,-0.291425075,0.135718656,0.562862387,0,0,0,0,0,0
FR,0.097349398,0.414457831,0.731566265,0,0,0,0,0,0,-0.252232747,0.123139378,0.498511502,-0.034709049,0.304409126,0.643527301,-0.357735849,0.052830189,0.463396226,-0.358870662,0.051411672,0.461694007,0,0,0,0,0,0
HR,0,0,0,0.211711303,0.509759419,0.807807535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490521675,0.742101396,0.993681117
IT,0,0,0,-0.00154335,0.332047208,0.665637767,0,0,0,0,0,0,0,0,0,-0.159187228,0.301015965,0.761219158,0,0,0,-0.398019802,0.002475248,0.402970297,0,0,0
CY,0.51373494,0.761445783,1.009156627,0,0,0,-0.323412237,0.095734704,0.514881644,0,0,0,-0.009792361,0.325173033,0.660138426,0,0,0,-0.333067218,0.083665977,0.500399173,-0.357920792,0.05259901,0.463118812,0,0,0
LV,0,0,0,-0.207444394,0.160463005,0.528370404,-0.008718164,0.489102295,0.986922754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223659074,0.146950771,0.517560617
LT,0,0,0,-0.28833409,0.093054925,0.47444394,-0.181981943,0.272522571,0.727027085,0,0,0,0,0,0,-0.10275762,0.371552975,0.84586357,0,0,0,0,0,0,0.359588538,0.632990448,0.906392359
