,low,medium,high
C1,3.688888889,4.611111111,5.533333333
C2,13.05481481,16.31851852,19.58222222
C3,685.5674074,856.9592593,1028.351111
C4,4.379259259,5.474074074,6.568888889
C5,693.5111111,866.8888889,1040.266667
C6,30.62222222,38.27777778,45.93333333
C7,61.01511111,76.26888889,91.52266667
C8,14.36444444,17.95555556,21.54666667
C9,8.065185185,10.08148148,12.09777778
