Country,low,medium,high
BE,0.476917458,0.41254252,0.348167582
BG,0.342572338,0.000713719,-0.341144899
CZ,0.593694286,0.329258532,0.064822778
DK,0.46627859,0.616596911,0.766915233
DE,0.455848841,0.394283012,0.332717182
EE,0.57706511,0.743921162,0.910777214
IE,0.510745194,0.637459457,0.76417372
EL,0.540886226,0.255606801,-0.029672624
ES,0.498373141,0.426714821,0.355056502
FR,0.634623424,0.541768518,0.448913613
HR,0.533429004,0.23232051,-0.068787984
IT,0.540967767,0.286645581,0.032323396
CY,0.445964189,0.589176468,0.732388748
LV,0.593702716,0.55845918,0.523215645
LT,0.53943948,0.494803431,0.450167381
LU,0.486906138,0.419882852,0.352859566
HU,0.526211851,0.224713353,-0.076785145
MT,0.281733032,0.235396915,0.189060798
NL,0.447464028,0.386491869,0.32551971
AT,0.558681033,0.482072146,0.40546326
PL,0.485691176,0.180029257,-0.125632662
PT,0.541512336,0.460500112,0.379487888
RO,0.359315236,0.082012032,-0.195291173
SI,0.63454153,0.378977434,0.123413338
SK,0.538587981,0.272154455,0.005720928
FI,0.790597984,0.999876457,1.20915493
SE,0.774969605,0.976273056,1.177576506
