,low,medium,high
C1,0.005052148,0.005052148,0.005052148
C2,0.004925831,0.004925831,0.004925831
C3,0.527419508,0.527419508,0.527419508
C4,0.001792382,0.001792382,0.001792382
C5,0.415601358,0.415601358,0.415601358
C6,0.014533105,0.014533105,0.014533105
C7,0.021971793,0.021971793,0.021971793
C8,0.004318823,0.004318823,0.004318823
C9,0.004385054,0.004385054,0.004385054
