,low,medium,high
C1,13.76,17.2,20.64
C2,20.88,26.1,31.32
C3,152.48,190.6,228.72
C4,8,10,12
C5,1557.6,1947,2336.4
C6,9.2,11.5,13.8
C7,5.36,6.7,8.04
C8,7.12,8.9,10.68
C9,18.88,23.6,28.32
