,low,medium,high
C1,0.56,0.7,0.84
C2,6.56,8.2,9.84
C3,1966.96,2458.7,2950.44
C4,2,2.5,3
C5,190.4,238,285.6
C6,53.76,67.2,80.64
C7,79.8,99.75,119.7
C8,24,30,36
C9,2.4,3,3.6
