Country,low,medium,high
BE,-0.058536701,0.080047646,0.218631992
BG,0.000233597,0.001452087,0.002670577
CZ,-0.006584922,0.005413418,0.017411758
DK,-0.033572324,0.263247811,0.560067946
DE,-0.096205612,0.048393523,0.192992659
EE,0.178695891,0.51138683,0.844077769
IE,0.043328922,0.306240712,0.569152502
EL,-0.003147181,0.003743883,0.010634946
ES,-0.042721533,0.088323422,0.219368376
FR,-0.023458639,0.105415616,0.234289872
HR,0.001896033,0.003815566,0.005735099
IT,-0.002494594,0.003622703,0.00974
CY,-0.133501642,0.161568458,0.456638558
LV,-0.124079471,0.218344422,0.560768314
LT,-0.207764008,0.110250455,0.428264918
LU,0.050014746,0.168592994,0.287171243
HU,-0.005471274,0.004788577,0.015048428
MT,-0.013941391,0.105232266,0.224405922
NL,-0.003143104,0.12501122,0.253165545
AT,-0.039319222,0.096488677,0.232296575
PL,-0.00080226,0.002856222,0.006514704
PT,-0.002334011,0.120125204,0.24258442
RO,-0.000697186,0.000750221,0.002197627
SI,-0.002128293,0.007456951,0.017042196
SK,-0.001060294,0.003351138,0.00776257
FI,0.591830424,1,1.408169576
SE,0.558742674,0.954901918,1.351061161
