Country,AS crisp
BE,0.431770318
BG,0.000726043
CZ,0.329034716
DK,0.631003214
DE,0.405829614
EE,0.753314534
IE,0.650316073
EL,0.055813252
ES,0.431828824
FR,0.550924108
HR,0.273932322
IT,0.299615349
CY,0.574324042
LV,0.599087407
LT,0.550976264
LU,0.445187607
HU,0.191917681
MT,0.257923244
NL,0.404318867
AT,0.491582993
PL,0.164387903
PT,0.463929631
RO,0.065465599
SI,0.37715426
SK,0.257695126
FI,0.999633183
SE,0.976536975
