Country,low,medium,high
BE,0.483649098,0.431770318,0.379891539
BG,0.341388044,0.000726043,-0.339935957
CZ,0.590705942,0.329034716,0.067363491
DK,0.484097241,0.631003214,0.777909187
DE,0.45631289,0.405829614,0.355346339
EE,0.590342579,0.753314534,0.91628649
IE,0.525103178,0.650316073,0.775528968
EL,0.380526496,0.055813252,-0.268899992
ES,0.490404452,0.431828824,0.373253196
FR,0.631749781,0.550924108,0.470098435
HR,0.565420564,0.273932322,-0.01755592
IT,0.55057422,0.299615349,0.048656478
CY,0.432696667,0.574324042,0.715951418
LV,0.435340445,0.599087407,0.762834369
LT,0.40060137,0.550976264,0.701351157
LU,0.503913882,0.445187607,0.386461332
HU,0.498833824,0.191917681,-0.114998463
MT,0.293736429,0.257923244,0.222110058
NL,0.455100728,0.404318867,0.353537006
AT,0.556562332,0.491582993,0.426603653
PL,0.471602877,0.164387903,-0.142827072
PT,0.532619322,0.463929631,0.395239941
RO,0.34794557,0.065465599,-0.217014371
SI,0.632050856,0.37715426,0.122257665
SK,0.529532872,0.257695126,-0.01414262
FI,0.796661521,0.999633183,1.202604845
SE,0.781093538,0.976536975,1.171980413
