,low,medium,high
C1,0.56,0.7,0.84
C2,6.16,7.7,9.24
C3,1966.96,2458.7,2950.44
C4,2.16,2.7,3.24
C5,222.4,278,333.6
C6,53.68,67.1,80.52
C7,79.8,99.75,119.7
C8,24.64,30.8,36.96
C9,2.4,3,3.6
