Country,low,medium,high
BE,0.07132627,0.525335924,0.812559316
BG,0.160950998,0.629572754,0.939463993
CZ,0.085392396,0.546685063,0.841191468
DK,-0.091347602,0.384195023,0.692951387
DE,0.078967983,0.533759013,0.82176378
EE,-0.24754926,0.251660867,0.584084731
IE,-0.076787429,0.388565669,0.687132505
EL,0.098026497,0.563530818,0.862248878
ES,0.068120787,0.519446822,0.803986596
FR,-0.013411622,0.451925433,0.750476227
HR,0.09575771,0.564110428,0.865676885
IT,0.127284252,0.579509829,0.864949144
CY,-0.062612957,0.40818766,0.712202015
LV,-0.123257535,0.363227129,0.691944046
LT,-0.055341506,0.428064444,0.744684132
LU,0.078376075,0.525296535,0.805430733
HU,0.085446674,0.558467776,0.864702617
MT,0.19799507,0.627000804,0.889220276
NL,0.096073225,0.542354652,0.821849818
AT,0.025982053,0.485691956,0.778615597
PL,0.113799552,0.58282422,0.885062626
PT,0.048470497,0.500723802,0.786190845
RO,0.194382268,0.647344258,0.933519986
SI,0.076982979,0.53518111,0.826592978
SK,0.116225909,0.573537722,0.864063272
FI,-0.37319706,0,0.37319706
SE,-0.364041279,0.022643437,0.394835453
