,low,medium,high
C1,15.84,19.8,23.76
C2,20.96,26.2,31.44
C3,152.48,190.6,228.72
C4,7.92,9.9,11.88
C5,1552,1940,2328
C6,10.08,12.6,15.12
C7,0,0,0
C8,7.68,9.6,11.52
C9,20,25,30
