Country,low,medium,high
BE,0.232889988,0.345128492,0.457366995
BG,0.243008089,0.337741213,0.451457172
CZ,0.221581342,0.335704619,0.449827897
DK,0.128401648,0.258054875,0.387708101
DE,0.232179032,0.344536028,0.456893024
EE,0.032733607,0.178331508,0.323929408
IE,0.146419943,0.273070121,0.399720298
EL,0.204740567,0.321670641,0.438600714
ES,0.234223031,0.346239361,0.45825569
FR,0.174769321,0.296694602,0.418619883
HR,0.202007829,0.319393359,0.436778889
IT,0.25492963,0.36349486,0.472060089
CY,0.153907201,0.279309502,0.404711803
LV,0.113794288,0.216897177,0.354781943
LT,0.120247869,0.251260059,0.382272249
LU,0.236955769,0.348516642,0.460077515
HU,0.184775736,0.302915469,0.423596577
MT,0.317782599,0.415872334,0.513962069
NL,0.261017192,0.368567828,0.476118464
AT,0.19809757,0.31613481,0.43417205
PL,0.221736863,0.335834221,0.449931578
PT,0.209428434,0.325577197,0.441725959
RO,0.245131765,0.355329972,0.46552818
SI,0.223647558,0.337426466,0.451205375
SK,0.222158993,0.336185996,0.450212999
FI,0.000619722,0.010337104,0.181264202
SE,0.001589396,0.041583531,0.214531026
