,low,medium,high
C1,0.004068683,0.004068683,0.004068683
C2,0.005881819,0.005881819,0.005881819
C3,0.513962069,0.513962069,0.513962069
C4,0.001805621,0.001805621,0.001805621
C5,0.42761154,0.42761154,0.42761154
C6,0.015306279,0.015306279,0.015306279
C7,0.022443561,0.022443561,0.022443561
C8,0.004364158,0.004364158,0.004364158
C9,0.004556269,0.004556269,0.004556269
