,low,medium,high
C1,12.88,16.1,19.32
C2,22.56,28.2,33.84
C3,161.12,201.4,241.68
C4,7.68,9.6,11.52
C5,1480,1850,2220
C6,8.4,10.5,12.6
C7,0,0,0
C8,7.68,9.6,11.52
C9,17.44,21.8,26.16
