,low,medium,high
C1,0.004506104,0.004506104,0.004506104
C2,0.004896954,0.004896954,0.004896954
C3,0.50223368,0.50223368,0.50223368
C4,0.001807371,0.001807371,0.001807371
C5,0.444942608,0.444942608,0.444942608
C6,0.013659705,0.013659705,0.013659705
C7,0.019933956,0.019933956,0.019933956
C8,0.004210412,0.004210412,0.004210412
C9,0.003809209,0.003809209,0.003809209
