Country,d+,d-,Ci
BE,8.583216565,0.420866688,0.046741759
BG,8.808460759,0.217134393,0.024057626
CZ,8.638847077,0.367056671,0.040757339
DK,8.470178602,0.535336487,0.059445404
DE,8.595526219,0.409159879,0.04543855
EE,8.365094396,0.641929099,0.071269837
IE,8.447640134,0.556769413,0.061832973
EL,8.654093729,0.3532687,0.039219994
ES,8.57726129,0.426540378,0.047373364
FR,8.52223691,0.482457229,0.053578414
HR,8.669747701,0.338097343,0.037533654
IT,8.660522293,0.344523581,0.038258948
CY,8.518373894,0.486791721,0.054056943
LV,8.520109468,0.488716079,0.05424859
LT,8.571885815,0.436795187,0.048486031
LU,8.528449214,0.474811625,0.05273774
HU,8.672193705,0.338318214,0.037547058
MT,8.697527268,0.306789493,0.034071379
NL,8.596428156,0.407399975,0.045247418
AT,8.547128452,0.457527254,0.050810077
PL,8.730706363,0.281027387,0.031184608
PT,8.551893583,0.45221109,0.050222771
RO,8.759332535,0.251596975,0.027921312
SI,8.60738845,0.397453295,0.044137732
SK,8.649175724,0.35704508,0.039644273
FI,8.143613224,0.870058546,0.09652654
SE,8.179563066,0.832157211,0.09234166
