Country,d+,d-,Ci
BE,8.564975199,0.438923207,0.04874813
BG,8.813737729,0.213605876,0.023662097
CZ,8.6272049,0.378515833,0.042030599
DK,8.437384202,0.567502757,0.063021641
DE,8.577200537,0.427162317,0.047439483
EE,8.336704332,0.669964556,0.074385388
IE,8.410340801,0.593566056,0.065923167
EL,8.669997682,0.33767835,0.037487844
ES,8.54814131,0.455307944,0.05057039
FR,8.502101147,0.502219507,0.055775391
HR,8.688759703,0.320049617,0.035526295
IT,8.642639211,0.362148382,0.040217315
CY,8.461002097,0.543506627,0.060359387
LV,8.489545878,0.518101176,0.057517926
LT,8.536751888,0.47014323,0.052198146
LU,8.536565148,0.466558937,0.051821893
HU,8.689739909,0.320656832,0.035587426
MT,8.63591578,0.367495766,0.040817391
NL,8.558808836,0.44458809,0.049380039
AT,8.524976396,0.479111379,0.05321043
PL,8.712132114,0.298490315,0.033126492
PT,8.525449175,0.478014968,0.053092339
RO,8.75261938,0.255863129,0.028402467
SI,8.598396896,0.406332794,0.045124374
SK,8.65542126,0.350327336,0.038900413
FI,8.132795774,0.87943171,0.097582059
SE,8.147887539,0.863490542,0.095822252
