Country,AS crisp
BE,0.407136448
BG,0.000865311
CZ,0.321695142
DK,0.611459626
DE,0.388597507
EE,0.733674044
IE,0.63185289
EL,0.253693492
ES,0.414166669
FR,0.540585671
HR,0.270436373
IT,0.280715997
CY,0.566108808
LV,0.551610746
LT,0.494867771
LU,0.432341841
HU,0.236075922
MT,0.2027336
NL,0.366114735
AT,0.478799476
PL,0.161104852
PT,0.458855368
RO,0.081934959
SI,0.374466178
SK,0.27764071
FI,0.999682396
SE,0.96329211
