,low,medium,high
C1,0.004378826,0.004378826,0.004378826
C2,0.005392804,0.005392804,0.005392804
C3,0.532520267,0.532520267,0.532520267
C4,0.001848813,0.001848813,0.001848813
C5,0.410176222,0.410176222,0.410176222
C6,0.014812578,0.014812578,0.014812578
C7,0.022332711,0.022332711,0.022332711
C8,0.004228131,0.004228131,0.004228131
C9,0.004309648,0.004309648,0.004309648
