Country,d+,d-,Ci
BE,8.556042606,0.448012455,0.049756743
BG,8.810663635,0.217761341,0.024119527
CZ,8.650495859,0.35698903,0.039632487
DK,8.444047408,0.561107445,0.062309583
DE,8.578424712,0.426549886,0.04736825
EE,8.358888782,0.647715116,0.071915577
IE,8.409316311,0.594708192,0.066049153
EL,8.638823773,0.368845286,0.040947917
ES,8.531378239,0.472078461,0.052433024
FR,8.492216807,0.512231456,0.05688649
HR,8.673709865,0.335626262,0.037253162
IT,8.623004608,0.381773549,0.042396774
CY,8.475088962,0.529581223,0.05881184
LV,8.525635987,0.483520546,0.053669902
LT,8.541790998,0.466132193,0.05174691
LU,8.499407887,0.503734556,0.05595097
HU,8.691461614,0.322497343,0.035777547
MT,8.644142956,0.359808161,0.039961141
NL,8.562312713,0.441428598,0.049027241
AT,8.527989496,0.476676873,0.05293665
PL,8.740842485,0.274080906,0.030403021
PT,8.508453902,0.495319748,0.055012461
RO,8.750959496,0.26115376,0.028978082
SI,8.59129975,0.41381436,0.045953261
SK,8.651365066,0.356029911,0.039526402
FI,8.138957963,0.872957287,0.09686701
SE,8.168041414,0.842260878,0.093477538
