Country,low,medium,high
BE,-0.068099653,0.064528154,0.197155961
BG,0.000291056,0.001499511,0.002707966
CZ,-0.006485329,0.004746477,0.015978283
DK,-0.067965441,0.235393757,0.538752954
DE,-0.101502478,0.038550959,0.178604395
EE,0.134755535,0.475416057,0.81607658
IE,0.028660354,0.293358837,0.558057321
EL,-0.004505515,0.004412958,0.013331431
ES,-0.049017951,0.07793637,0.204890691
FR,-0.042455331,0.083835846,0.210127023
HR,0.002516928,0.004542996,0.006569064
IT,-0.003970567,0.003027078,0.010024722
CY,-0.139426112,0.155998186,0.451422484
LV,0.014328553,0.222134106,0.429939659
LT,-0.077435169,0.106602874,0.290640916
LU,0.026237078,0.142484482,0.258731886
HU,-0.007717279,0.003611422,0.014940124
MT,-0.023088976,0.090778409,0.204645795
NL,-0.018265948,0.106612633,0.231491214
AT,-0.064797455,0.069346694,0.203490843
PL,-0.000567033,0.003242056,0.007051146
PT,-0.011276122,0.107019741,0.225315605
RO,-0.000724478,0.000712959,0.002150397
SI,-0.001425879,0.007523402,0.016472683
SK,-0.001854825,0.004180572,0.010215969
FI,0.581083275,1,1.418916725
SE,0.544741386,0.95287279,1.361004193
