Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0,0,0,-0.305795768,0.11775529,0.541306348,-0.0347142,0.304404834,0.643523867,-0.281425891,0.148217636,0.577861163,0,0,0,0,0,0,0,0,0,0,0,0,-0.103311258,0.370860927,0.845033113
BG,0.467163169,1.083953961,1.700744753,0,0,0,-0.080497183,0.266252348,0.613001878,0.137335835,0.671669794,1.206003752,0.653417605,1.316772006,1.980126407,-0.198699937,0.167750052,0.534200042,-0.178911961,0.184240032,0.547392026,-0.319754601,0.066871166,0.453496933,0.591485336,1.23935667,1.887228004
CZ,0,0,0,0,0,0,-0.084228711,0.263142741,0.610514193,-0.254409006,0.181988743,0.618386492,-0.233510527,0.208111841,0.64973421,-0.208890753,0.159257706,0.527406165,0,0,0,0,0,0,-0.382592242,0.021759697,0.426111637
DK,0,0,0,-0.380312787,0.024609016,0.429530819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0.081692732,0.602115915,1.122539098,-0.010602785,0.324497679,0.659598143,0,0,0,0,0,0,0,0,0,0,0,0,-0.233619632,0.138650307,0.510920245,-0.259981079,0.175023652,0.610028382
EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161333613,0.198888656,0.559110925,0,0,0,-0.372760736,0.022699387,0.418159509,-0.396215705,0.004730369,0.405676443
IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177781764,0.185181863,0.54814549,-0.306503067,0.07791411,0.462331288,0,0,0
EL,-0.220176032,0.224779959,0.669735951,-0.246182153,0.192272309,0.630726771,-0.100877069,0.249269109,0.599415288,-0.213883677,0.232645403,0.679174484,-0.121401365,0.348248294,0.817897953,0.263283707,0.552736423,0.842189138,0,0,0,0,0,0,-0.328098392,0.08987701,0.507852412
ES,0,0,0,0,0,0,-0.022227932,0.314810057,0.651848046,0,0,0,0,0,0,-0.219081568,0.15076536,0.520612288,0,0,0,0,0,0,0,0,0
FR,0,0,0,-0.385280589,0.018399264,0.422079117,-0.398681739,0.001098551,0.40087884,0,0,0,0,0,0,0,0,0,0,0,0,-0.273374233,0.105521472,0.484417178,-0.232734153,0.209082308,0.65089877
HR,-0.132430603,0.334461747,0.801354096,0,0,0,-0.162590808,0.197840994,0.558272795,-0.07879925,0.401500938,0.881801126,-0.078004269,0.402494663,0.882993596,0.188551059,0.490459216,0.792367373,0.204224784,0.503520653,0.802816522,-0.134233129,0.221472393,0.577177914,0,0,0
IT,0.203926879,0.754908599,1.305890318,-0.290892364,0.136384545,0.563661454,0.123301676,0.43608473,0.748867784,0,0,0,-0.23983927,0.200200912,0.640241095,0,0,0,-0.162281921,0.198098399,0.558478719,0,0,0,0.121475875,0.651844844,1.182213813
CY,0,0,0,-0.345538178,0.068077277,0.481692732,0,0,0,-0.294934334,0.131332083,0.557598499,0,0,0,0.236108199,0.530090166,0.824072133,0,0,0,0,0,0,-0.382592242,0.021759697,0.426111637
LV,1.06675694,1.833446175,2.60013541,0,0,0,0,0,0,0.083302064,0.60412758,1.124953096,-0.33838684,0.07701645,0.49241974,-0.174921367,0.187565527,0.550052422,-0.384284881,0.013095932,0.410476746,0,0,0,-0.396215705,0.004730369,0.405676443
LT,0.101557211,0.626946513,1.152335816,0,0,0,0,0,0,-0.07879925,0.401500938,0.881801126,-0.300414382,0.124482023,0.549378427,-0.324386664,0.063011113,0.450408891,-0.367009015,0.027492488,0.42199399,0.084417178,0.403680982,0.722944785,0,0,0
LU,0,0,0,-0.201471941,0.248160074,0.697792088,0.065606506,0.388005422,0.710404338,-0.348968105,0.063789869,0.476547842,0,0,0,0,0,0,0,0,0,-0.333006135,0.055828221,0.444662577,-0.185052034,0.268684957,0.722421949
HU,1.06675694,1.833446175,2.60013541,0,0,0,-0.210813636,0.157655303,0.526124243,-0.32195122,0.097560976,0.517073171,0.195035788,0.743794734,1.292553681,-0.293814217,0.088488153,0.470790522,0,0,0,0,0,0,0,0,0
MT,0,0,0,0.022079117,0.527598896,1.033118675,0.526450264,0.772041887,1.017633509,0,0,0,0,0,0,0.429733697,0.691444747,0.953155798,0.8,1,1.2,-0.372760736,0.022699387,0.418159509,0,0,0
NL,0,0,0,0.027046918,0.533808648,1.040570377,0.123158156,0.43596513,0.748772104,0,0,0,0,0,0,0,0,0,0,0,0,-0.114355828,0.23803681,0.590429448,-0.014758751,0.481551561,0.977861873
AT,0,0,0,-0.330634775,0.086706532,0.504047838,-0.209808994,0.158492505,0.526794004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32128666,0.098391675,0.518070009
PL,0.233175355,0.791469194,1.349763033,0,0,0,-0.095423296,0.25381392,0.603051136,-0.159849906,0.300187617,0.760225141,0.167912603,0.709890754,1.251868905,-0.304005033,0.079995806,0.463996645,-0.372175629,0.023186976,0.418549581,0,0,0,0,0,0
PT,0,0,0,-0.057405704,0.42824287,0.913891444,-0.091548248,0.257043127,0.605634502,0,0,0,0,0,0,-0.212287691,0.156426924,0.525141539,0,0,0,0.137423313,0.447852761,0.758282209,0,0,0
RO,1.695599188,2.619498984,3.543398781,-0.097148114,0.378564857,0.854277829,0.276437861,0.563698218,0.850958574,0.096810507,0.621013133,1.14521576,0.087447156,0.609308945,1.131170734,0.35160411,0.626336758,0.901069407,0.159016908,0.465847423,0.772677939,0,0,0,-0.307663198,0.115421003,0.538505203
SI,-0.381042654,0.023696682,0.428436019,0,0,0,-0.074325809,0.271395159,0.617116127,0,0,0,-0.280524047,0.149344942,0.57921393,0,0,0,-0.126761448,0.227698794,0.582159035,-0.120981595,0.232515337,0.58601227,0,0,0
SK,0,0,0,0,0,0,0.030444027,0.358703356,0.686962685,0,0,0,-0.130442426,0.336946967,0.804336361,0.293856154,0.578213462,0.86257077,-0.226864601,0.144279499,0.5154236,0,0,0,0,0,0
FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193865031,0.171779141,0.537423313,0,0,0
SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313128834,0.072392638,0.45791411,0,0,0
