Country,AS crisp
BE,0.418127847
BG,0.000749756
CZ,0.341986505
DK,0.617611676
DE,0.396496962
EE,0.73557457
IE,0.643582485
EL,0.299811186
ES,0.421278894
FR,0.540450814
HR,0.295371772
IT,0.273254804
CY,0.572033881
LV,0.5787393
LT,0.511497252
LU,0.426106609
HU,0.216800692
MT,0.236083245
NL,0.388344483
AT,0.475582382
PL,0.194310482
PT,0.454258932
RO,0.087156619
SI,0.355330742
SK,0.262269647
FI,0.999489445
SE,0.976221232
