Country,low,medium,high
BE,-0.088794198,0.084137371,0.25706894
BG,0.000379504,0.001955192,0.00353088
CZ,-0.008456131,0.006188866,0.020833863
DK,-0.088619202,0.306926674,0.70247255
DE,-0.132347681,0.050266064,0.232879809
EE,0.175705884,0.619888443,1.064071003
IE,0.03736984,0.382506544,0.727643248
EL,-0.005874678,0.005753995,0.017382669
ES,-0.063913831,0.101620158,0.267154148
FR,-0.05535692,0.109312404,0.273981728
HR,0.003281787,0.00592355,0.008565312
IT,-0.005177168,0.003946965,0.013071097
CY,-0.181795785,0.203403884,0.588603554
LV,0.018682803,0.289637599,0.560592395
LT,-0.100966649,0.138998017,0.378962684
LU,0.034210164,0.185783551,0.337356939
HU,-0.010062454,0.004708884,0.019480222
MT,-0.030105398,0.118364716,0.26683483
NL,-0.023816718,0.139010743,0.301838203
AT,-0.084488508,0.090420198,0.265328905
PL,-0.000739347,0.004227272,0.009193892
PT,-0.01470278,0.139541566,0.293785911
RO,-0.000944637,0.000929618,0.002803873
SI,-0.001859184,0.00980966,0.021478505
SK,-0.002418481,0.00545099,0.013320461
FI,0.757666472,1.303886215,1.850105957
SE,0.710280784,1.242437695,1.774594606
