Country,low,medium,high
BE,1.029234155,0.77172754,0.514220926
BG,0.678161576,-2.22E-16,-0.678161576
CZ,1.207338262,0.679226533,0.151114803
DK,1.002633476,0.999829595,0.997025714
DE,1.010348179,0.754442966,0.498537754
EE,1.008136805,0.995733083,0.983329361
IE,1.007323665,0.993806134,0.980288602
EL,1.14661908,0.595209415,0.043799749
ES,1.020917361,0.764621419,0.508325477
FR,1.299967984,0.997065783,0.694163581
HR,1.1577112,0.586200548,0.014689895
IT,1.055164778,0.54348253,0.031800283
CY,1.000896839,0.988069577,0.975242314
LV,1.209627132,0.935344494,0.661061857
LT,1.194112686,0.91639163,0.638670574
LU,0.957207571,0.709728737,0.462249902
HU,1.039921049,0.429989961,-0.179941126
MT,0.580024803,0.381388081,0.182751358
NL,0.90972186,0.670076333,0.430430807
AT,1.159192285,0.88181807,0.604443854
PL,0.988015108,0.385378907,-0.217257294
PT,1.07150308,0.801498123,0.531493166
RO,0.722541261,0.173600279,-0.375340704
SI,1.227562556,0.703138083,0.17871361
SK,1.055383288,0.520358722,-0.014665843
FI,1.001152395,0.99897889,0.996805385
SE,1.001861337,0.999569675,0.997278013
