,low,medium,high
C1,0.003711682,0.003711682,0.003711682
C2,0.006396253,0.006396253,0.006396253
C3,0.559863079,0.559863079,0.559863079
C4,0.001770149,0.001770149,0.001770149
C5,0.379573148,0.379573148,0.379573148
C6,0.016153492,0.016153492,0.016153492
C7,0.023231013,0.023231013,0.023231013
C8,0.004094852,0.004094852,0.004094852
C9,0.005206331,0.005206331,0.005206331
