Country,low,medium,high
BE,-0.010935495,0.179538019,0.370011533
BG,0.148892467,0.603350369,1.05780827
CZ,-0.144106537,0.21776953,0.579645596
DK,-0.003349528,0.000992205,0.005333938
DE,-0.013772032,0.179379625,0.372531281
EE,-0.002271945,0.00485616,0.011984266
IE,-0.004923733,0.005764443,0.016452619
EL,-0.157751537,0.239420702,0.636592942
ES,-0.010773465,0.189952947,0.39067936
FR,-0.215575677,0.014417112,0.244409901
HR,-0.141118867,0.265435771,0.671990409
IT,-0.048770562,0.297854677,0.644479916
CY,0.001542969,0.010691686,0.019840403
LV,-0.085005093,0.096255903,0.277516899
LT,-0.060037926,0.12998077,0.319999467
LU,0.002108841,0.193063747,0.384018653
HU,-0.157956156,0.266682388,0.691320932
MT,0.315050723,0.468527035,0.622003347
NL,0.090553083,0.269786357,0.449019631
AT,-0.134647884,0.076646944,0.287941771
PL,0.004004682,0.425614449,0.847224215
PT,-0.091822214,0.120863122,0.333548459
RO,0.098858192,0.5024953,0.906132408
SI,-0.048623878,0.15520975,0.359043377
SK,-0.130702788,0.243150921,0.61700463
FI,-0.001590799,3.93E-05,0.001669368
SE,-0.007981157,0.003626232,0.01523362
