Country,low,medium,high
BE,0.482175041,0.38322433,0.284273619
BG,0.377242732,0.001081717,-0.375079298
CZ,0.618245332,0.320445033,0.022644734
DK,0.445013951,0.597539826,0.750065702
DE,0.468630395,0.370981257,0.273332118
EE,0.556950093,0.724486783,0.892023472
IE,0.486347023,0.612044081,0.737741139
EL,0.629413942,0.304854075,-0.019705792
ES,0.493066904,0.386841968,0.280617032
FR,0.664169404,0.532629309,0.401089214
HR,0.618117347,0.281938995,-0.054239356
IT,0.541604715,0.256738823,-0.028127068
CY,0.399823369,0.543906323,0.687989276
LV,0.556838752,0.528204533,0.499570314
LT,0.508521896,0.453555486,0.398589076
LU,0.533194939,0.424840234,0.316485529
HU,0.629261143,0.28334119,-0.062578763
MT,0.202437143,0.131981398,0.061525653
NL,0.411617062,0.322594887,0.233572712
AT,0.582778171,0.471004195,0.359230219
PL,0.493674922,0.147857043,-0.197960837
PT,0.568612478,0.447610752,0.326609026
RO,0.414775389,0.081734022,-0.251307345
SI,0.481384822,0.376698563,0.272012303
SK,0.61286926,0.300916993,-0.011035273
FI,0.783083446,0.99959632,1.216109193
SE,0.746719411,0.947651318,1.148583225
