Country,C1 low,C1 medium,C1 high,C2 low,C2 medium,C2 high,C3 low,C3 medium,C3 high,C4 low,C4 medium,C4 high,C5 low,C5 medium,C5 high,C6 low,C6 medium,C6 high,C7 low,C7 medium,C7 high,C8 low,C8 medium,C8 high,C9 low,C9 medium,C9 high
BE,0,0,0,-0.390821822,0.011472723,0.413767268,-0.017075015,0.319104154,0.655283323,-0.348169014,0.064788732,0.477746479,0,0,0,0,0,0,0,0,0,0,0,0,-0.111405836,0.360742706,0.832891247
BG,0.444482464,1.05560308,1.666723695,0,0,0,-0.072946983,0.272544181,0.618035345,0.169014085,0.711267606,1.253521127,0.514590747,1.143238434,1.771886121,-0.249269936,0.125608386,0.500486709,-0.209200075,0.158999937,0.52719995,-0.218532977,0.151222519,0.520978015,0.453353543,1.066691929,1.680030315
CZ,0,0,0,0,0,0,-0.088350282,0.259708098,0.607766478,-0.317746479,0.102816901,0.523380282,-0.247686833,0.190391459,0.628469751,-0.209846499,0.15846125,0.526769,0,0,0,0,0,0,0,0,0
DK,0,0,0,-0.183469913,0.270662608,0.72479513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.351674543,0.040271214,0.432216971,0,0,0
DE,0,0,0,0.119971904,0.649964879,1.179957855,-0.021555975,0.315370021,0.652296016,0,0,0,0,0,0,0,0,0,0,0,0,-0.311732073,0.073556606,0.458845285,-0.127775673,0.340280409,0.808336491
EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134032198,0.221639835,0.577311868,0,0,0,0,0,0,0,0,0
IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.334181954,0.054848371,0.443878697,-0.167743244,0.193547297,0.554837837,0,0,0,0,0,0
EL,-0.091360137,0.385799829,0.862959795,-0.203699368,0.24537579,0.694450948,-0.194493018,0.171255818,0.537004655,-0.226478873,0.216901408,0.66028169,-0.131316726,0.335854093,0.803024911,0.163159865,0.469299888,0.77543991,0,0,0,-0.331703308,0.05691391,0.445531128,0.183251232,0.729064039,1.274876847
ES,0,0,0,0,0,0,-0.008673216,0.326105653,0.660884523,0,0,0,0,0,0,-0.352377387,0.039685511,0.431748409,0,0,0,-0.225190055,0.145674954,0.516539963,-0.250549451,0.186813187,0.624175824
FR,0,0,0,-0.325076095,0.093654882,0.512385858,-0.38339348,0.013838767,0.411071013,0,0,0,0,0,0,0,0,0,0,0,0,-0.311732073,0.073556606,0.458845285,0.003183024,0.50397878,1.004774536
HR,-0.109837468,0.362703165,0.835243798,0,0,0,-0.211716707,0.156902744,0.525522195,-0.089577465,0.388028169,0.865633803,-0.06405694,0.419928826,0.903914591,-0.115836765,0.236802696,0.589442156,0.222733177,0.518944314,0.815155451,-0.251818369,0.123484693,0.498787754,0,0,0
IT,-0.276133447,0.154833191,0.585799829,0,0,0,0.121834739,0.434862282,0.747889826,-0.393802817,0.007746479,0.409295775,-0.3,0.125,0.55,0,0,0,-0.132387606,0.223010328,0.578408262,-0.398274091,0.001438258,0.401150606,0,0,0
CY,0,0,0,0,0,0,0,0,0,-0.302535211,0.121830986,0.546197183,0,0,0,0.305690753,0.588075627,0.870460502,0,0,0,0,0,0,-0.160515347,0.299355817,0.75922698
LV,1.146621044,1.933276305,2.719931565,0,0,0,0,0,0,-0.150422535,0.311971831,0.774366197,-0.213523132,0.233096085,0.679715302,0,0,0,0,0,0,-0.345017465,0.04581878,0.436655024,0,0,0
LT,0.241231822,0.801539778,1.361847733,0,0,0,0,0,0,-0.196056338,0.254929577,0.705915493,-0.134519573,0.331850534,0.798220641,0,0,0,-0.397554887,0.002037594,0.401630075,0.174234641,0.478528868,0.782823094,0,0,0
LU,0,0,0,-0.17841255,0.276984313,0.732381175,0.008550473,0.340458728,0.672366982,0,0,0,0,0,0,0,0,0,0,0,0,-0.358331621,0.034723649,0.427778919,-0.283289125,0.145888594,0.575066313
HU,0.241231822,0.801539778,1.361847733,0,0,0,-0.336343402,0.053047165,0.442437732,-0.256901408,0.178873239,0.614647887,0.086476868,0.608096085,1.129715302,-0.288693373,0.092755522,0.474204418,0,0,0,0,0,0,0,0,0
MT,0,0,0,0.231233903,0.789042379,1.346850855,0.517979592,0.764982993,1.011986395,0,0,0,0,0,0,0.524035942,0.770029951,1.016023961,0.8,1,1.2,0,0,0,-0.08685108,0.39143615,0.86972338
NL,0,0,0,0.145258722,0.681573402,1.217888082,0.160202957,0.466835798,0.773468638,0,0,0,0,0,0,0,0,0,0,0,0,-0.158619273,0.201150606,0.560920485,0.13414172,0.66767715,1.201212581
AT,0,0,0,-0.213814095,0.232732381,0.679278857,-0.236361986,0.136365012,0.509092009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,0.259709153,0.824636441,1.38956373,0,0,0,-0.087370072,0.26052494,0.608419952,-0.028732394,0.464084507,0.956901408,0.178291815,0.722864769,1.267437722,-0.234107076,0.138244103,0.510595283,-0.364545863,0.029545114,0.423636091,0,0,0,0,0,0
PT,0,0,0,-0.051978459,0.435026926,0.922032311,-0.164946689,0.195877759,0.556702207,-0.18084507,0.273943662,0.728732394,0,0,0,-0.076413328,0.26965556,0.615724448,0,0,0,0.087692624,0.40641052,0.725128416,0,0,0
RO,1.423781009,2.279726262,3.135671514,-0.279559822,0.150550222,0.580660267,0.060081511,0.383401259,0.706721008,0.26028169,0.825352113,1.390422535,0.146263345,0.682829181,1.219395018,0.451254212,0.70937851,0.967502808,0.027182085,0.355985071,0.684788056,0,0,0,0,0,0
SI,0,0,0,0,0,0,-0.075327493,0.270560423,0.616448338,0,0,0,0,0,0,0,0,0,-0.287576953,0.093685873,0.474948698,-0.09204849,0.256626258,0.605301007,0,0,0
SK,0,0,0,0,0,0,-0.084709503,0.262742081,0.610193665,0,0,0,-0.202846975,0.246441281,0.695729537,-0.367540247,0.027049794,0.421639835,-0.265362349,0.112198043,0.489758434,0,0,0,0,0,0
FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.271789603,0.106841997,0.485473598,0,0,0
SE,0,0,0,-0.340248185,0.074689768,0.489627722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135960591,0.330049261,0.796059113
